attribute,value,fixed,tupleid
score,83%,t,44
sample,184 patients,t,44
stateavg,AL_SCIP-VTE-2,f,44
provider number,10005,t,45
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,45
address1,2505 U S HIGHWAY 431 NORTH,t,45
address2,,t,45
address3,,t,45
city,BOAZ,f,45
state,AL,f,45
zip code,x5957,f,45
county name,MARSHALL,t,45
phone number,2565938310,f,45
hospital type,Acute Care Hospitals,t,45
hospital owner,Government - Hospital District or Authority,t,45
emergency service,Yes,t,45
condition,Heart Attack,f,45
measure code,AMI-1,f,45
measure name,Heart Attack Patients Given Aspirin at Arrival,f,45
score,80%,t,45
sample,20 patients,t,45
stateavg,AL_AMI-1,f,45
provider number,x0005,t,46
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,46
address1,2505 U S HIGHWAY 431 NORTH,t,46
address2,,t,46
address3,,t,46
city,BOAZ,f,46
state,AL,f,46
zip code,35957,f,46
county name,MARSHALL,t,46
phone number,2565938310,f,46
hospital type,Acute Care Hospitals,t,46
hospital owner,Government - Hospital District or Authority,t,46
emergency service,Yes,t,46
condition,Heart Attack,f,46
measure code,AMI-2,f,46
measure name,Heart Attack Patients Given Aspirin at Discharge,f,46
score,60%,t,46
sample,5 patients,t,46
stateavg,AL_AMI-2,f,46
provider number,10005,t,47
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,47
address1,2505 U S HIGHWAY 431 NORTH,t,47
address2,,t,47
address3,,t,47
city,BOAZ,f,47
state,xL,f,47
zip code,35957,f,47
county name,MARSHALL,t,47
phone number,2565938310,f,47
hospital type,Acute Care Hospitals,t,47
hospital owner,Government - Hospital District or Authority,t,47
emergency service,Yes,t,47
condition,Heart Attack,f,47
measure code,AMI-3,f,47
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,47
score,100%,t,47
sample,2 patients,t,47
stateavg,AL_AMI-3,t,47
provider number,10005,t,48
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,48
address1,2505 U S HIGHWAY 431 NORTH,t,48
address2,,t,48
address3,,t,48
city,BOAZ,f,48
state,AL,f,48
zip code,35957,f,48
county name,MARSHALL,t,48
phone number,2565938310,f,48
hospital type,Acute Care Hospitals,t,48
hospital owner,Government - Hospital District or Authority,t,48
emergency service,Yes,t,48
condition,Heart Attack,f,48
measure code,AMI-4,f,48
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,48
score,,t,48
sample,0 patients,t,48
stateavg,AL_AMI-4,t,48
provider number,10005,t,49
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,49
address1,2505 U S HIGHWAY 431 NORTH,t,49
address2,,t,49
address3,,t,49
city,BOAZ,f,49
state,AL,f,49
zip code,35957,f,49
county name,MARSHALL,t,49
phone number,2565938310,f,49
hospital type,Acute Care Hospitals,t,49
hospital owner,Government - Hospital District or Authority,t,49
emergency service,Yes,t,49
condition,Heart Attack,f,49
measure code,AMI-5,f,49
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,49
score,100%,t,49
sample,5 patients,t,49
stateavg,AL_AMI-5,f,49
provider number,10005,t,50
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,50
address1,2505 U S HIGHWAY 431 NORTH,t,50
address2,,t,50
address3,,t,50
city,BOAZ,f,50
state,AL,f,50
zip code,35957,f,50
county name,MARSHALL,t,50
phone number,2565938310,f,50
hospital type,Acute Care Hospitals,t,50
hospital owner,Government - Hospital District or Authority,t,50
emergency service,Yes,t,50
condition,Heart Attack,f,50
measure code,AMI-7A,f,50
measure name,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,t,50
score,,t,50
sample,0 patients,t,50
stateavg,AL_AMI-7A,f,50
provider number,10005,t,51
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,51
address1,2505 U S HIGHWAY 431 NORTH,t,51
address2,,t,51
address3,,t,51
city,BOAZ,f,51
state,xL,f,51
zip code,35957,f,51
county name,MARSHALL,t,51
phone number,2565938310,f,51
hospital type,Acute Care Hospitals,t,51
hospital owner,Government - Hospital District or Authority,t,51
emergency service,Yes,t,51
condition,Heart Attack,f,51
measure code,AMI-8A,f,51
measure name,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,f,51
score,,t,51
sample,0 patients,t,51
stateavg,AL_AMI-8A,t,51
provider number,10005,t,52
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,52
address1,2505 U S HIGHWAY 431 NORTH,t,52
address2,,t,52
address3,,t,52
city,BOAZ,f,52
state,AL,f,52
zip code,35957,f,52
county name,MARSHALL,t,52
phone number,2565938310,f,52
hospital type,Acute Care Hospitals,t,52
hospital owner,Government - Hospital District or Authority,t,52
emergency service,Yxs,t,52
condition,Heart Failure,f,52
measure code,HF-1,f,52
measure name,Heart Failure Patients Given Discharge Instructions,f,52
score,78%,t,52
sample,110 patients,t,52
stateavg,AL_HF-1,t,52
provider number,10005,t,53
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,53
address1,2505 U S HIGHWAY 431 NORTH,t,53
address2,,t,53
address3,,t,53
city,BOAZ,f,53
state,AL,f,53
zip code,35957,f,53
county name,MARSHALL,t,53
phone number,2565938310,f,53
hospital type,Acute Care Hospitals,t,53
hospital owner,Government - Hospital District or Authority,t,53
emergency service,Yes,t,53
condition,Heart Failure,f,53
measure code,HF-2,f,53
measure name,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,f,53
score,99%,t,53
sample,160 patients,t,53
stateavg,AL_HF-2,f,53
provider number,10005,t,54
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,54
address1,2505 U S HIGHWAY 431 NORTH,t,54
address2,,t,54
address3,,t,54
city,BOAZ,f,54
state,AL,f,54
zip code,35957,f,54
county name,MARSHALL,t,54
phone number,2565938310,f,54
hospital type,Acute Care Hospitals,t,54
hospital owner,Government - Hospital District or Authority,t,54
emergency service,Yes,t,54
condition,Heart Failure,f,54
measure code,HF-3,f,54
measure name,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,54
score,90%,t,54
sample,69 patients,t,54
stateavg,AL_HF-3,t,54
provider number,10005,t,55
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,55
address1,2505 U S HIGHWAY 431 NORTH,t,55
address2,,t,55
address3,,t,55
city,BOAZ,f,55
state,AL,f,55
zip code,35957,f,55
county name,MARSHALL,t,55
phone number,2565938310,f,55
hospital type,Acute Care Hospitals,t,55
hospital owner,Government - Hospital District or Authority,t,55
emergency service,Yes,t,55
condition,Heart Failure,f,55
measure code,HF-4,f,55
measure name,Heart Failure Patients Given Smoking Cessation Advice/Counseling,f,55
score,94%,t,55
sample,34 patients,t,55
stateavg,AL_HF-4,f,55
provider number,10005,t,56
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,56
address1,2505 U S HIGHWAY 431 NORTH,t,56
address2,,t,56
address3,,t,56
city,BOAZ,f,56
state,AL,f,56
zip code,35957,f,56
county name,MARSHALL,t,56
phone number,2565938310,f,56
hospital type,Acute Care Hospitals,t,56
hospital owner,Government - Hospital District or Authority,t,56
emergency service,Yes,t,56
condition,Pneumonia,t,56
measure code,PN-2,f,56
measure name,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,t,56
score,97%,t,56
sample,172 patients,t,56
stateavg,AL_PN-2,f,56
provider number,10005,t,57
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,57
address1,2505 U S HIGHWAY 431 NORTH,t,57
address2,,t,57
address3,,t,57
city,BOxZ,f,57
state,AL,f,57
zip code,35957,f,57
county name,MARSHALL,t,57
phone number,2565938310,f,57
hospital type,Acute Care Hospitals,t,57
hospital owner,Government - Hospital District or Authority,t,57
emergency service,Yes,t,57
condition,Pneumonia,f,57
measure code,PN-3B,f,57
measure name,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,f,57
score,97%,t,57
sample,120 patients,t,57
stateavg,AL_PN-xB,f,57
provider number,10005,t,58
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,58
address1,2505xUxSxHIGHWAYx431xNORTH,t,58
address2,,t,58
address3,,t,58
city,BOAZ,f,58
state,AL,f,58
zip code,35957,f,58
county name,MARSHALL,t,58
phone number,2x6x938310,t,58
hospital type,Acute Care Hospitals,t,58
hospital owner,Government - Hospital District or Authority,t,58
emergency service,Yes,t,58
condition,Pneumonia,f,58
measure code,PN-4,f,58
measure name,Pneumonia Patients Given Smoking Cessation Advice/Counseling,t,58
score,97%,t,58
sample,98 patients,t,58
stateavg,AL_PN-4,t,58
provider number,10005,t,59
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,59
address1,2505 U S HIGHWAY 431 NORTH,t,59
address2,,t,59
address3,,t,59
city,BOAZ,f,59
state,AL,f,59
zip code,35957,f,59
county name,MARSHALL,t,59
phone number,2565938310,f,59
hospital type,Acute Care Hospitals,t,59
hospital owner,Government - Hospital District or Authority,t,59
emergency service,Yes,t,59
condition,Pneumonia,f,59
measure code,PN-5C,f,59
measure name,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,f,59
score,96%,t,59
sample,211 patients,t,59
stateavg,AL_PN-5C,f,59
provider number,10005,t,60
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,60
address1,2505 U S HIGHWAY 431 NORTH,t,60
address2,,t,60
address3,,t,60
city,BOAZ,f,60
state,AL,f,60
zip code,35957,f,60
county name,MARSHALL,t,60
phone number,2565938310,f,60
hospital type,Acute Care Hospitals,t,60
hospital owner,Government - Hospital District or Authority,t,60
emergency service,Yes,t,60
condition,Pneumonia,f,60
measure code,PN-6,f,60
measure name,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),f,60
score,92%,t,60
sample,175 patients,t,60
stateavg,AL_PN-6,f,60
provider number,10005,t,61
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,61
address1,2505 U S HIGHWAY 431 NORTH,t,61
address2,,t,61
address3,,t,61
city,BOAZ,f,61
state,AL,f,61
zip code,35957,f,61
county name,MARSHALL,t,61
phone number,2x6x938310,t,61
hospital type,Acute Care Hospitals,t,61
hospital owner,Government - Hospital District or Authority,t,61
emergency service,Yes,t,61
condition,Pneumonia,t,61
measure code,PN-7,f,61
measure name,Pneumonia Patients Assessed and Given Influenza Vaccination,f,61
score,81%,t,61
sample,118 patients,t,61
stateavg,AL_PN-7,f,61
provider number,10005,t,62
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,62
address1,2505 U S HIGHWAY 431 NORTH,t,62
address2,,t,62
address3,,t,62
city,BOAZ,f,62
state,AL,f,62
zip code,35957,f,62
county name,MARSHALL,t,62
phone number,2565938310,f,62
hospital type,Acute Care Hospitals,t,62
hospital owner,Government - Hospital District or Authority,t,62
emergency service,Yes,t,62
condition,Surgical Infection Prevention,f,62
measure code,SCIP-CARD-2,f,62
measure name,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,f,62
score,36%,t,62
sample,14 patients,t,62
stateavg,AL_SCIP-CARD-2,t,62
provider number,10005,t,63
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,63
address1,2505 U S HIGHWAY 431 NORTH,t,63
address2,,t,63
address3,,t,63
city,BOAZ,f,63
state,AL,f,63
zip code,35957,f,63
county name,MARSHALL,t,63
phone number,2565938310,f,63
hospital type,Acute Care Hospitals,t,63
hospital owner,Government - Hospital District or Authority,t,63
emergency service,Yes,t,63
condition,Surgical Infection Prevention,t,63
measure code,SCIP-INF-1,t,63
measure name,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,t,63
score,96%,t,63
sample,168 patients,t,63
stateavg,AL_SCIP-INF-1,t,63
provider number,10005,t,64
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,64
address1,2505 U S HIGHWAY 431 NORTH,t,64
address2,,t,64
address3,,t,64
city,BOAZ,f,64
state,AL,f,64
zip code,3595x,f,64
county name,MARSHALL,t,64
phone number,2565938310,f,64
hospital type,Acute Care Hospitals,t,64
hospital owner,Government - Hospital District or Authority,t,64
emergency service,Yes,t,64
condition,Surgical Infection Prevention,f,64
measure code,SCIP-INF-2,f,64
measure name,surgery patients who were given the  right kind  of antibiotic to help prevent infection,t,64
score,93%,t,64
sample,167 patients,t,64
stateavg,AL_SCIP-INF-2,f,64
provider number,10005,t,65
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,65
address1,2505 U S HIGHWAY 431 NORTH,t,65
address2,,t,65
address3,,t,65
city,BOAZ,f,65
state,AL,f,65
zip code,35957,f,65
county name,MARSHALL,t,65
phone number,2565938310,f,65
hospital type,Acute Care Hospitals,t,65
hospital owner,Government - Hospital District or Authority,t,65
emergency service,Yes,t,65
condition,Surgical Infection Prevention,f,65
measure code,SCIP-INF-3,f,65
measure name,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),t,65
score,95%,t,65
sample,158 patients,t,65
stateavg,AL_SCIP-INF-3,t,65
provider number,10005,t,66
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,66
address1,2505 U S HIGHWAY 431 NORTH,t,66
address2,,t,66
address3,,t,66
city,BOAZ,f,66
state,AL,f,66
zip code,35957,f,66
county name,MARSHALL,t,66
phone number,2565x38310,t,66
hospital type,Acute Care Hospitals,t,66
hospital owner,Government - Hospital District or Authority,t,66
emergency service,Yes,t,66
condition,Surgical Infection Prevention,f,66
measure code,SCIP-INF-4,f,66
measure name,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,f,66
score,,t,66
sample,0 patients,t,66
stateavg,AL_SCIP-INF-4,t,66
provider number,10005,t,67
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,67
address1,2505 U S HIGHWAY 431 NORTH,t,67
address2,,t,67
address3,,t,67
city,BOAZ,f,67
state,AL,f,67
zip code,35957,f,67
county name,MARSHALL,t,67
phone number,2565938310,f,67
hospital type,Acute Care Hospitals,t,67
hospital owner,Government - Hospital District or Authority,t,67
emergency service,Yes,t,67
condition,Surgical Infection Prevention,t,67
measure code,SCIP-INF-6,f,67
measure name,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),f,67
score,100%,t,67
sample,237 patients,t,67
stateavg,AL_SCIP-INF-6,t,67
provider number,10005,t,68
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,68
address1,2505 U S HIGHWAY 431 NORTH,t,68
address2,,t,68
address3,,t,68
city,BOAZ,f,68
state,AL,f,68
zip code,35957,f,68
county name,MxRSHxLL,t,68
phone number,2565938310,f,68
hospital type,Acute Care Hospitals,t,68
hospital owner,Government - Hospital District or Authority,t,68
emergency service,Yes,t,68
condition,Surgical Infection Prevention,t,68
measure code,SCIP-VTE-1,f,68
measure name,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,f,68
score,78%,t,68
sample,76 patients,t,68
stateavg,AL_SCIP-VTE-1,f,68
provider number,10005,t,69
hospital name,MARSHALL MEDICAL CENTER SOUTH,t,69
address1,2505 U S HIGHWAY 431 NORTH,t,69
address2,,t,69
address3,,t,69
city,BOAZ,f,69
state,AL,f,69
zip code,35957,f,69
county name,MARSHALL,t,69
phone number,2565938310,f,69
hospital type,Acute Care Hospitals,t,69
hospital owner,Government - Hospital District or Authority,t,69
emergency service,Yes,t,69
condition,Surgical Infection Prevention,f,69
measure code,SCIP-VTE-2,f,69
measure name,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,t,69
score,74%,t,69
sample,76 patients,t,69
stateavg,AL_SCIP-VTE-2,f,69
provider number,10006,t,70
hospital name,ELIZA COFFEE MEMORIAL HOSPITAL,t,70
address1,205 MARENGO STREET,t,70
address2,,t,70
address3,,t,70
city,FLORENCE,f,70
state,AL,f,70
zip code,35631,f,70
county name,LAUDERDALE,t,70
phone number,2567688400,f,70
hospital type,Acute Care Hospitals,t,70
hospital owner,Voluntary non-profit - Other,t,70
emergency service,Yes,t,70
condition,Heart Attack,f,70
measure code,AMI-1,f,70
measure name,Heart Attack Patients Given Aspirin at Arrival,f,70
score,97%,t,70
sample,159 patients,t,70
stateavg,AL_AMx-1,f,70
provider number,10006,t,71
hospital name,ELIZA COFFEE MEMORIAL HOSPITAL,t,71
address1,205 MARENGO STREET,t,71
address2,,t,71
address3,,t,71
city,FLORENCE,f,71
state,AL,f,71
zip code,3563x,f,71
county name,LAUDERDALE,t,71
phone number,2567688400,f,71
hospital type,Acute Care Hospitals,t,71
hospital owner,Voluntary non-profit - Other,t,71
emergency service,Yes,t,71
condition,Heart Attack,f,71
measure code,AMI-2,f,71
measure name,Heart Attack Patients Given Aspirin at Discharge,f,71
score,96%,t,71
sample,247 patients,t,71
stateavg,AL_AMI-2,f,71
provider number,10006,t,72
hospital name,ELIZA COFFEE MEMORIAL HOSPITAL,t,72
address1,205 MARENGO STREET,t,72
address2,,t,72
address3,,t,72
city,FLORENCE,f,72
state,AL,f,72
zip code,35631,f,72
county name,LAUDERDALE,t,72
phone number,2567688400,f,72
hospital type,Acute Care Hospitals,t,72
hospital owner,Voluntary non-profit - Other,t,72
emergency service,Yes,t,72
condition,Heart Attack,f,72
measure code,AMI-3,f,72
measure name,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),f,72
score,93%,t,72
sample,43 patients,t,72
stateavg,AL_AMI-3,t,72
provider number,10006,t,73
hospital name,ELIZA COFFEE MEMORIAL HOSPITAL,t,73
address1,205 MARENGO STREET,t,73
address2,,t,73
address3,,t,73
city,FLORENCE,f,73
state,AL,f,73
zip code,35631,f,73
county name,LAUDxRDALx,t,73
phone number,2567688400,f,73
hospital type,Acute Care Hospitals,t,73
hospital owner,Voluntary non-profit - Other,t,73
emergency service,Yes,t,73
condition,Heart Attack,f,73
measure code,AMI-4,f,73
measure name,Heart Attack Patients Given Smoking Cessation Advice/Counseling,t,73
score,100%,t,73
sample,103 patients,t,73
stateavg,AL_AMI-4,t,73
provider number,10006,t,74
hospital name,ELIZA COFFEE MEMORIAL HOSPITAL,t,74
address1,205 MARENGO STREET,t,74
address2,,t,74
address3,,t,74
city,FLORENCE,f,74
state,AL,f,74
zip code,35631,f,74
county name,LAUDERDALE,t,74
phone number,2567688400,f,74
hospital type,Acute Care Hospitals,t,74
hospital owner,Voluntary non-profit - Other,t,74
emergency service,Yes,t,74
condition,Hearx Axxack,f,74
measure code,AMI-5,f,74
measure name,Heart Attack Patients Given Beta Blocker at Discharge,f,74
